customer_id,age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi
CUST458767,38,Female,Single,Post Graduate,38710.8,Government,13.0,Government,Own,0.0,5,3,5929.19,0.0,2241.04,10526.48,3262.53,Yes,9935.86,676,352189.81,57894.01,E-commerce Shopping EMI,72122.42,16,High_Risk,4048.0
CUST492124,53,Female,Single,Post Graduate,72868.97,Government,8.3,Government,Own,0.0,6,3,0.0,0.0,7440.75,13206.72,3972.01,No,0.0,647,402180.01,95948.84,E-commerce Shopping EMI,55855.4,10,Eligible,33166.76
CUST440058,36,Male,Married,Post Graduate,62163.05,Private,10.0,Startup,Own,0.0,3,1,5688.25,0.0,3367.2,7483.81,1868.08,No,0.0,616,653578.12,276520.0,Vehicle EMI,556583.81,51,Eligible,29426.12
CUST156523,44,Male,Married,Professional,71958.2,Private,5.0,Large Corporate,Own,0.0,5,3,14926.69,0.0,6793.64,16886.77,2572.09,Yes,6247.66,547,509338.0,115869.67,Education EMI,182617.29,24,High_Risk,14543.63
CUST447871,43,Female,Single,High School,40910.66,Government,2.9,Government,Family,0.0,2,0,0.0,0.0,2772.78,6602.88,1995.73,No,0.0,663,50469.9,20788.35,Vehicle EMI,416824.88,28,Eligible,18853.13
CUST249470,46,Female,Married,Graduate,28760.62,Private,9.9,Startup,Family,0.0,3,2,5867.56,0.0,1002.76,7082.56,1938.43,No,0.0,626,345744.66,123956.21,Education EMI,86329.74,24,Eligible,8516.26
CUST365364,40,Female,Single,High School,48036.7,Government,4.7,Government,Rented,15754.86,6,4,17281.02,0.0,3061.83,17673.11,1759.39,Yes,7848.69,585,162572.03,,Home Appliances EMI,106629.08,25,Not_Eligible,500.0
CUST196071,37,Male,Single,Post Graduate,40042.82,Government,2.1,Government,Family,0.0,6,3,14047.4,0.0,4468.12,20103.22,1775.98,No,0.0,565,218715.68,85047.96,Education EMI,170194.72,23,Not_Eligible,500.0
CUST269048,32,Female,Married,Professional,136481.53,Private,1.4,Government,Rented,24175.0,6,4,14961.59,0.0,15000.0,16338.74,3469.63,No,0.0,677,166670.63,36043.77,Home Appliances EMI,165763.91,23,Eligible,35183.79
CUST258739,41,Female,Married,Graduate,28840.03,Government,4.8,Government,Own,0.0,1,0,0.0,0.0,3367.75,2379.73,2420.56,No,0.0,599,219976.45,74643.68,E-commerce Shopping EMI,42482.03,11,High_Risk,14688.42
CUST196120,47,Female,Married,Graduate,44777.73,Private,5.6,Startup,Rented,14660.52,2,1,1555.02,0.0,1868.26,7555.46,4374.09,No,0.0,570,324588.78,59224.91,Personal Loan EMI,259715.61,40,Not_Eligible,9803.5
CUST320625,53,Male,Married,Post Graduate,25980.05,Private,8.5,SME,Own,0.0,7,6,0.0,18996.15,2459.77,21728.63,1362.02,Yes,5923.58,555,116549.25,30985.46,Personal Loan EMI,327106.49,20,Not_Eligible,500.0
CUST392968,40,Male,Single,Graduate,22959.86,Self-employed,10.0,Not Applicable,Rented,6694.29,4,2,11244.57,0.0,2748.81,10659.9,838.85,Yes,1991.03,497,58751.13,13422.95,E-commerce Shopping EMI,28803.18,11,Not_Eligible,500.0
CUST423915,49,Female,Married,High School,25918.55,Self-employed,1.9,Not Applicable,Family,0.0,4,2,5715.86,0.0,2322.61,12977.55,823.5,Yes,6687.81,534,87040.05,9001.53,Education EMI,114545.13,23,Not_Eligible,500.0
CUST122660,32,Female,Married,Professional,90735.83,Private,7.4,SME,Rented,21449.11,3,1,1929.19,0.0,10299.87,9499.8,2643.51,No,0.0,623,973278.09,343116.87,Education EMI,172804.7,32,Not_Eligible,29004.06
CUST280032,46,Male,Married,Post Graduate,60805.58,Private,9.5,MNC,Own,0.0,6,5,4692.23,0.0,6134.26,12030.28,3545.78,Yes,12885.25,454,492252.98,189690.78,Education EMI,195985.03,27,Not_Eligible,11176.79
CUST271645,39,Female,Single,Graduate,37705.69,Government,5.1,Government,Own,0.0,7,4,7668.91,0.0,1898.1,15092.49,1003.64,Yes,3964.14,537,123331.73,34256.0,E-commerce Shopping EMI,64338.02,15,High_Risk,4959.68
CUST345551,32,Male,Single,Graduate,97493.06,Private,6.7,Large Corporate,Rented,16384.89,5,3,16233.39,0.0,8320.71,11590.41,2737.87,No,0.0,595,449709.47,66183.77,Personal Loan EMI,684757.81,32,High_Risk,26752.61
CUST496934,42,Male,Married,Post Graduate,95410.49,Private,7.2,Large Corporate,Own,0.0,5,3,16764.41,0.0,9073.02,18000.99,2150.06,No,0.0,569,1224793.4,630571.13,Vehicle EMI,479562.12,25,High_Risk,29520.31
CUST125016,35,Female,Married,Post Graduate,71894.03,Government,13.0,Government,Own,0.0,6,5,17665.94,0.0,7286.17,14232.32,6891.85,No,0.0,684,349902.34,118513.19,Personal Loan EMI,451259.99,26,Not_Eligible,14228.55
CUST417708,29,Female,Married,Post Graduate,67534.09,Private,6.5,Startup,Family,0.0,2,0,0.0,0.0,5835.08,7080.5,2400.33,No,0.0,693,451624.92,181696.62,Home Appliances EMI,114007.2,14,Eligible,37825.6
